pair_id,status,reasons
v11_SYN_0583_03536_roll_orbit_right_60_seed42536_roll_event_fragment_synthetic,PASS,
v11_SYN_0512_03437_roll_orbit_right_60_seed42437_wrong_camera_motion_visible,PASS,
v11_SYN_0515_03437_roll_orbit_right_60_seed42437_background_drift_visible,PASS,
v11_SYN_EXTRA_0049_02288_collision_orbit_right_64_seed41288_collision_response_failure_synthetic,PASS,
v11_SYN_EXTRA_0185_04279_containment_orbit_left_44_seed43279_containment_failure_synthetic,PASS,
v11_SYN_0469_01108_drop_orbit_left_72_seed40108_drop_motion_failure_synthetic,PASS,
v10_TypeM_027_prefix5_anchored_7f708dfe212ad6_freeze_foreground_foreground_identity_color_shift,PASS,
v10_TypeM_062_prefix5_anchored_dc458b2cf487d8_wrong_camera_motion_local_patch_drift,PASS,
v11_SYN_EXTRA_0028_02239_collision_strafe_left_180_seed41239_local_scene_patch_drift,PASS,
v11_SYN_EXTRA_0187_04279_containment_orbit_left_44_seed43279_object_duplicate_or_fragment,PASS,
v11_SYN_0496_03413_roll_orbit_right_60_seed42413_partial_freeze_foreground,PASS,
v11_SYN_0278_04279_containment_orbit_left_44_seed43279_reobserve_mismatch_visible,PASS,
v11_SYN_0595_03544_roll_orbit_right_60_seed42544_roll_event_fragment_synthetic,PASS,
v11_SYN_0518_03440_roll_orbit_right_60_seed42440_wrong_camera_motion_visible,PASS,
v11_SYN_0521_03440_roll_orbit_right_60_seed42440_background_drift_visible,PASS,
v11_SYN_0079_02292_collision_orbit_right_64_seed41292_collision_response_failure_synthetic,PASS,
v11_SYN_0283_04280_containment_orbit_left_44_seed43280_containment_failure_synthetic,PASS,
v11_SYN_0475_v6b_GT_C_001_01014_drop_orbit_left_72_seed40014_drop_motion_failure_synthetic,PASS,
v10_TypeM_059_prefix5_anchored_95981b8f74bed0_background_drift_foreground_identity_color_shift,PASS,
v11_SYN_0046_02259_collision_strafe_left_180_seed41259_local_scene_patch_drift,PASS,
v11_SYN_EXTRA_0095_prefix5_anchored_1ca3412d8f73c8_nonrigid_background_warp_object_duplicate_or_fragment,PASS,
v11_SYN_0018_02215_collision_strafe_left_180_seed41215_object_identity_color_shift,PASS,
v11_SYN_0502_03418_roll_orbit_right_60_seed42418_partial_freeze_foreground,PASS,
v11_SYN_EXTRA_0186_04279_containment_orbit_left_44_seed43279_reobserve_mismatch_visible,PASS,
v11_SYN_0536_03465_roll_orbit_right_60_seed42465_wrong_camera_motion_visible,PASS,
v11_SYN_0527_03442_roll_orbit_right_60_seed42442_background_drift_visible,PASS,
v11_SYN_EXTRA_0053_02292_collision_orbit_right_64_seed41292_collision_response_failure_synthetic,PASS,
v11_SYN_EXTRA_0189_04280_containment_orbit_left_44_seed43280_containment_failure_synthetic,PASS,
v10_TypeM_031_prefix5_anchored_ede413792fce8b_nonrigid_background_warp_foreground_identity_color_shift,PASS,
v11_SYN_0058_02276_collision_orbit_right_64_seed41276_local_scene_patch_drift,PASS,
v11_SYN_EXTRA_0107_prefix5_anchored_7f708dfe212ad6_freeze_foreground_object_duplicate_or_fragment,PASS,
v11_SYN_0508_03435_roll_orbit_right_60_seed42435_partial_freeze_foreground,PASS,
v11_SYN_0284_04280_containment_orbit_left_44_seed43280_reobserve_mismatch_visible,PASS,
v11_SYN_0548_03477_roll_orbit_right_60_seed42477_wrong_camera_motion_visible,PASS,
v11_SYN_0533_03453_roll_orbit_right_60_seed42453_background_drift_visible,PASS,
v11_SYN_0085_02295_collision_strafe_left_180_seed41295_collision_response_failure_synthetic,PASS,
v11_SYN_0289_04302_containment_orbit_left_44_seed43302_containment_failure_synthetic,PASS,
v10_TypeM_035_v6_02222_collision_orbit_right_64_seed41222_foreground_identity_color_shift,PASS,
v11_SYN_EXTRA_0135_v6_02202_collision_orbit_right_64_seed41202_object_duplicate_or_fragment,PASS,
v11_SYN_0042_02239_collision_strafe_left_180_seed41239_object_identity_color_shift,PASS,
v11_SYN_0520_03440_roll_orbit_right_60_seed42440_partial_freeze_foreground,PASS,
v11_SYN_EXTRA_0190_04280_containment_orbit_left_44_seed43280_reobserve_mismatch_visible,PASS,
v11_SYN_0560_03494_roll_orbit_right_60_seed42494_wrong_camera_motion_visible,PASS,
v11_SYN_0539_03465_roll_orbit_right_60_seed42465_background_drift_visible,PASS,
v11_SYN_EXTRA_0057_02295_collision_strafe_left_180_seed41295_collision_response_failure_synthetic,PASS,
v11_SYN_0295_04339_containment_orbit_left_44_seed43339_containment_failure_synthetic,PASS,
v10_TypeM_063_v6_04204_containment_orbit_left_44_seed43204_foreground_identity_color_shift,PASS,
v11_SYN_0064_02284_collision_orbit_right_64_seed41284_local_scene_patch_drift,PASS,
v11_SYN_0048_02259_collision_strafe_left_180_seed41259_object_identity_color_shift,PASS,
v11_SYN_0526_03442_roll_orbit_right_60_seed42442_partial_freeze_foreground,PASS,
v11_SYN_0290_04302_containment_orbit_left_44_seed43302_reobserve_mismatch_visible,PASS,
v11_SYN_0566_03495_roll_orbit_right_60_seed42495_wrong_camera_motion_visible,PASS,
v11_SYN_0557_03484_roll_orbit_right_60_seed42484_background_drift_visible,PASS,
v11_SYN_0091_02327_collision_strafe_left_180_seed41327_collision_response_failure_synthetic,PASS,
v11_SYN_EXTRA_0197_04339_containment_orbit_left_44_seed43339_containment_failure_synthetic,PASS,
v11_SYN_0070_02286_collision_orbit_right_64_seed41286_local_scene_patch_drift,PASS,
v11_SYN_0054_02262_collision_orbit_right_64_seed41262_object_identity_color_shift,PASS,
